selec = OCR_14x14.gz
# b a E k Ete Intervalo
#------- --- --- --- --- ---------
     0.1      0.1   0  16  20 I=[0.038, 0.095] 
     0.1      1.0   0  13  17 I=[0.031, 0.083] 
     0.1     10.0   0   8  15 I=[0.025, 0.075] 
     0.1    100.0   0  12  16 I=[0.028, 0.079] 
     0.1   1000.0   0  12  16 I=[0.028, 0.079] 
     0.1  10000.0   0  12  16 I=[0.028, 0.079] 
     0.1 100000.0   0  12  16 I=[0.028, 0.079] 
     1.0      0.1   0  10  19 I=[0.036, 0.091] 
     1.0      1.0   0  16  20 I=[0.038, 0.095] 
     1.0     10.0   0  13  17 I=[0.031, 0.083] 
     1.0    100.0   0   8  15 I=[0.025, 0.075] 
     1.0   1000.0   0  12  16 I=[0.028, 0.079] 
     1.0  10000.0   0  12  16 I=[0.028, 0.079] 
     1.0 100000.0   0  12  16 I=[0.028, 0.079] 
    10.0      0.1   0  22  16 I=[0.028, 0.079] 
    10.0      1.0   0  10  19 I=[0.036, 0.091] 
    10.0     10.0   0  16  20 I=[0.038, 0.095] 
    10.0    100.0   0  13  17 I=[0.031, 0.083] 
    10.0   1000.0   0   8  15 I=[0.025, 0.075] 
    10.0  10000.0   0  12  16 I=[0.028, 0.079] 
    10.0 100000.0   0  12  16 I=[0.028, 0.079] 
   100.0      0.1   0 125  13 I=[0.020, 0.066] 
   100.0      1.0   0  22  16 I=[0.028, 0.079] 
   100.0     10.0   0  10  19 I=[0.036, 0.091] 
   100.0    100.0   0  16  20 I=[0.038, 0.095] 
   100.0   1000.0   0  13  17 I=[0.031, 0.083] 
   100.0  10000.0   0   8  15 I=[0.025, 0.075] 
   100.0 100000.0   0  12  16 I=[0.028, 0.079] 
  1000.0      0.1 165 200  10 I=[0.013, 0.054] 
  1000.0      1.0   0 125  13 I=[0.020, 0.066] 
  1000.0     10.0   0  22  16 I=[0.028, 0.079] 
  1000.0    100.0   0  10  19 I=[0.036, 0.091] 
  1000.0   1000.0   0  16  20 I=[0.038, 0.095] 
  1000.0  10000.0   0  13  17 I=[0.031, 0.083] 
  1000.0 100000.0   0   8  15 I=[0.025, 0.075] 
 10000.0      0.1 544 200  29 I=[0.063, 0.130] 
 10000.0      1.0 165 200  10 I=[0.013, 0.054] 
 10000.0     10.0   0 125  13 I=[0.020, 0.066] 
 10000.0    100.0   0  22  16 I=[0.028, 0.079] 
 10000.0   1000.0   0  10  19 I=[0.036, 0.091] 
 10000.0  10000.0   0  16  20 I=[0.038, 0.095] 
 10000.0 100000.0   0  13  17 I=[0.031, 0.083] 
100000.0      0.1 700 200  55 I=[0.140, 0.227] 
100000.0      1.0 544 200  29 I=[0.063, 0.130] 
100000.0     10.0 165 200  10 I=[0.013, 0.054] 
100000.0    100.0   0 125  13 I=[0.020, 0.066] 
100000.0   1000.0   0  22  16 I=[0.028, 0.079] 
100000.0  10000.0   0  10  19 I=[0.036, 0.091] 
100000.0 100000.0   0  16  20 I=[0.038, 0.095] 
selec = expressions.gz
# b a E k Ete Intervalo
#------- --- --- --- --- ---------
     0.1      0.1   0  63   3 I=[-0.005, 0.094] 
     0.1      1.0   0  63   3 I=[-0.005, 0.094] 
     0.1     10.0   0  63   3 I=[-0.005, 0.094] 
     0.1    100.0   0  63   3 I=[-0.005, 0.094] 
     0.1   1000.0   0  63   3 I=[-0.005, 0.094] 
     0.1  10000.0   0  63   3 I=[-0.005, 0.094] 
     0.1 100000.0   0  63   3 I=[-0.005, 0.094] 
     1.0      0.1   0  63   3 I=[-0.005, 0.094] 
     1.0      1.0   0  63   3 I=[-0.005, 0.094] 
     1.0     10.0   0  63   3 I=[-0.005, 0.094] 
     1.0    100.0   0  63   3 I=[-0.005, 0.094] 
     1.0   1000.0   0  63   3 I=[-0.005, 0.094] 
     1.0  10000.0   0  63   3 I=[-0.005, 0.094] 
     1.0 100000.0   0  63   3 I=[-0.005, 0.094] 
    10.0      0.1   0  63   3 I=[-0.005, 0.094] 
    10.0      1.0   0  63   3 I=[-0.005, 0.094] 
    10.0     10.0   0  63   3 I=[-0.005, 0.094] 
    10.0    100.0   0  63   3 I=[-0.005, 0.094] 
    10.0   1000.0   0  63   3 I=[-0.005, 0.094] 
    10.0  10000.0   0  63   3 I=[-0.005, 0.094] 
    10.0 100000.0   0  63   3 I=[-0.005, 0.094] 
   100.0      0.1   0  63   3 I=[-0.005, 0.094] 
   100.0      1.0   0  63   3 I=[-0.005, 0.094] 
   100.0     10.0   0  63   3 I=[-0.005, 0.094] 
   100.0    100.0   0  63   3 I=[-0.005, 0.094] 
   100.0   1000.0   0  63   3 I=[-0.005, 0.094] 
   100.0  10000.0   0  63   3 I=[-0.005, 0.094] 
   100.0 100000.0   0  63   3 I=[-0.005, 0.094] 
  1000.0      0.1   0  57   2 I=[-0.011, 0.071] 
  1000.0      1.0   0  63   3 I=[-0.005, 0.094] 
  1000.0     10.0   0  63   3 I=[-0.005, 0.094] 
  1000.0    100.0   0  63   3 I=[-0.005, 0.094] 
  1000.0   1000.0   0  63   3 I=[-0.005, 0.094] 
  1000.0  10000.0   0  63   3 I=[-0.005, 0.094] 
  1000.0 100000.0   0  63   3 I=[-0.005, 0.094] 
 10000.0      0.1   0  95   3 I=[-0.005, 0.094] 
 10000.0      1.0   0  57   2 I=[-0.011, 0.071] 
 10000.0     10.0   0  63   3 I=[-0.005, 0.094] 
 10000.0    100.0   0  63   3 I=[-0.005, 0.094] 
 10000.0   1000.0   0  63   3 I=[-0.005, 0.094] 
 10000.0  10000.0   0  63   3 I=[-0.005, 0.094] 
 10000.0 100000.0   0  63   3 I=[-0.005, 0.094] 
100000.0      0.1   0  60   3 I=[-0.005, 0.094] 
100000.0      1.0   0  95   3 I=[-0.005, 0.094] 
100000.0     10.0   0  57   2 I=[-0.011, 0.071] 
100000.0    100.0   0  63   3 I=[-0.005, 0.094] 
100000.0   1000.0   0  63   3 I=[-0.005, 0.094] 
100000.0  10000.0   0  63   3 I=[-0.005, 0.094] 
100000.0 100000.0   0  63   3 I=[-0.005, 0.094] 
selec = gauss2D.gz
# b a E k Ete Intervalo
#------- --- --- --- --- ---------
     0.1      0.1 606 200 157 I=[0.112, 0.150] 
     0.1      1.0 547 200 140 I=[0.099, 0.135] 
     0.1     10.0 536 200 160 I=[0.114, 0.153] 
     0.1    100.0 549 200 134 I=[0.094, 0.129] 
     0.1   1000.0 552 200 154 I=[0.109, 0.147] 
     0.1  10000.0 557 200 153 I=[0.109, 0.146] 
     0.1 100000.0 557 200 153 I=[0.109, 0.146] 
     1.0      0.1 737 200 111 I=[0.076, 0.109] 
     1.0      1.0 606 200 157 I=[0.112, 0.150] 
     1.0     10.0 547 200 140 I=[0.099, 0.135] 
     1.0    100.0 536 200 160 I=[0.114, 0.153] 
     1.0   1000.0 549 200 134 I=[0.094, 0.129] 
     1.0  10000.0 552 200 154 I=[0.109, 0.147] 
     1.0 100000.0 557 200 153 I=[0.109, 0.146] 
    10.0      0.1 860 200 110 I=[0.075, 0.108] 
    10.0      1.0 737 200 111 I=[0.076, 0.109] 
    10.0     10.0 606 200 157 I=[0.112, 0.150] 
    10.0    100.0 547 200 140 I=[0.099, 0.135] 
    10.0   1000.0 536 200 160 I=[0.114, 0.153] 
    10.0  10000.0 549 200 134 I=[0.094, 0.129] 
    10.0 100000.0 552 200 154 I=[0.109, 0.147] 
   100.0      0.1 878 200 108 I=[0.074, 0.106] 
   100.0      1.0 860 200 110 I=[0.075, 0.108] 
   100.0     10.0 737 200 111 I=[0.076, 0.109] 
   100.0    100.0 606 200 157 I=[0.112, 0.150] 
   100.0   1000.0 547 200 140 I=[0.099, 0.135] 
   100.0  10000.0 536 200 160 I=[0.114, 0.153] 
   100.0 100000.0 549 200 134 I=[0.094, 0.129] 
  1000.0      0.1 903 200 111 I=[0.076, 0.109] 
  1000.0      1.0 878 200 108 I=[0.074, 0.106] 
  1000.0     10.0 860 200 110 I=[0.075, 0.108] 
  1000.0    100.0 737 200 111 I=[0.076, 0.109] 
  1000.0   1000.0 606 200 157 I=[0.112, 0.150] 
  1000.0  10000.0 547 200 140 I=[0.099, 0.135] 
  1000.0 100000.0 536 200 160 I=[0.114, 0.153] 
 10000.0      0.1 1248 200 138 I=[0.097, 0.133] 
 10000.0      1.0 903 200 111 I=[0.076, 0.109] 
 10000.0     10.0 878 200 108 I=[0.074, 0.106] 
 10000.0    100.0 860 200 110 I=[0.075, 0.108] 
 10000.0   1000.0 737 200 111 I=[0.076, 0.109] 
 10000.0  10000.0 606 200 157 I=[0.112, 0.150] 
 10000.0 100000.0 547 200 140 I=[0.099, 0.135] 
100000.0      0.1 1760 200 250 I=[0.185, 0.231] 
100000.0      1.0 1248 200 138 I=[0.097, 0.133] 
100000.0     10.0 903 200 111 I=[0.076, 0.109] 
100000.0    100.0 878 200 108 I=[0.074, 0.106] 
100000.0   1000.0 860 200 110 I=[0.075, 0.108] 
100000.0  10000.0 737 200 111 I=[0.076, 0.109] 
100000.0 100000.0 606 200 157 I=[0.112, 0.150] 
selec = gender.gz
# b a E k Ete Intervalo
#------- --- --- --- --- ---------
     0.1      0.1   0  76  57 I=[0.050, 0.084] 
     0.1      1.0   0  76  57 I=[0.050, 0.084] 
     0.1     10.0   0  76  57 I=[0.050, 0.084] 
     0.1    100.0   0  76  57 I=[0.050, 0.084] 
     0.1   1000.0   0  76  57 I=[0.050, 0.084] 
     0.1  10000.0   0  76  57 I=[0.050, 0.084] 
     0.1 100000.0   0  76  57 I=[0.050, 0.084] 
     1.0      0.1   0  76  57 I=[0.050, 0.084] 
     1.0      1.0   0  76  57 I=[0.050, 0.084] 
     1.0     10.0   0  76  57 I=[0.050, 0.084] 
     1.0    100.0   0  76  57 I=[0.050, 0.084] 
     1.0   1000.0   0  76  57 I=[0.050, 0.084] 
     1.0  10000.0   0  76  57 I=[0.050, 0.084] 
     1.0 100000.0   0  76  57 I=[0.050, 0.084] 
    10.0      0.1   0  76  57 I=[0.050, 0.084] 
    10.0      1.0   0  76  57 I=[0.050, 0.084] 
    10.0     10.0   0  76  57 I=[0.050, 0.084] 
    10.0    100.0   0  76  57 I=[0.050, 0.084] 
    10.0   1000.0   0  76  57 I=[0.050, 0.084] 
    10.0  10000.0   0  76  57 I=[0.050, 0.084] 
    10.0 100000.0   0  76  57 I=[0.050, 0.084] 
   100.0      0.1   0  94  52 I=[0.045, 0.077] 
   100.0      1.0   0  76  57 I=[0.050, 0.084] 
   100.0     10.0   0  76  57 I=[0.050, 0.084] 
   100.0    100.0   0  76  57 I=[0.050, 0.084] 
   100.0   1000.0   0  76  57 I=[0.050, 0.084] 
   100.0  10000.0   0  76  57 I=[0.050, 0.084] 
   100.0 100000.0   0  76  57 I=[0.050, 0.084] 
  1000.0      0.1   0  82  58 I=[0.051, 0.085] 
  1000.0      1.0   0  94  52 I=[0.045, 0.077] 
  1000.0     10.0   0  76  57 I=[0.050, 0.084] 
  1000.0    100.0   0  76  57 I=[0.050, 0.084] 
  1000.0   1000.0   0  76  57 I=[0.050, 0.084] 
  1000.0  10000.0   0  76  57 I=[0.050, 0.084] 
  1000.0 100000.0   0  76  57 I=[0.050, 0.084] 
 10000.0      0.1   0  65  58 I=[0.051, 0.085] 
 10000.0      1.0   0  82  58 I=[0.051, 0.085] 
 10000.0     10.0   0  94  52 I=[0.045, 0.077] 
 10000.0    100.0   0  76  57 I=[0.050, 0.084] 
 10000.0   1000.0   0  76  57 I=[0.050, 0.084] 
 10000.0  10000.0   0  76  57 I=[0.050, 0.084] 
 10000.0 100000.0   0  76  57 I=[0.050, 0.084] 
100000.0      0.1   0  74  57 I=[0.050, 0.084] 
100000.0      1.0   0  65  58 I=[0.051, 0.085] 
100000.0     10.0   0  82  58 I=[0.051, 0.085] 
100000.0    100.0   0  94  52 I=[0.045, 0.077] 
100000.0   1000.0   0  76  57 I=[0.050, 0.084] 
100000.0  10000.0   0  76  57 I=[0.050, 0.084] 
100000.0 100000.0   0  76  57 I=[0.050, 0.084] 
selec = iris.gz
# b a E k Ete Intervalo
#------- --- --- --- --- ---------
     0.1      0.1   0  11   0 I=[0.000, 0.000] 
     0.1      1.0   0  15   0 I=[0.000, 0.000] 
     0.1     10.0   0  15   0 I=[0.000, 0.000] 
     0.1    100.0   0  15   0 I=[0.000, 0.000] 
     0.1   1000.0   0  15   0 I=[0.000, 0.000] 
     0.1  10000.0   0  15   0 I=[0.000, 0.000] 
     0.1 100000.0   0  15   0 I=[0.000, 0.000] 
     1.0      0.1   3 200   0 I=[0.000, 0.000] 
     1.0      1.0   0  11   0 I=[0.000, 0.000] 
     1.0     10.0   0  15   0 I=[0.000, 0.000] 
     1.0    100.0   0  15   0 I=[0.000, 0.000] 
     1.0   1000.0   0  15   0 I=[0.000, 0.000] 
     1.0  10000.0   0  15   0 I=[0.000, 0.000] 
     1.0 100000.0   0  15   0 I=[0.000, 0.000] 
    10.0      0.1   4 200   2 I=[-0.029, 0.829] 
    10.0      1.0   3 200   0 I=[0.000, 0.000] 
    10.0     10.0   0  11   0 I=[0.000, 0.000] 
    10.0    100.0   0  15   0 I=[0.000, 0.000] 
    10.0   1000.0   0  15   0 I=[0.000, 0.000] 
    10.0  10000.0   0  15   0 I=[0.000, 0.000] 
    10.0 100000.0   0  15   0 I=[0.000, 0.000] 
   100.0      0.1   6 200   3 I=[0.171, 1.029] 
   100.0      1.0   4 200   2 I=[-0.029, 0.829] 
   100.0     10.0   3 200   0 I=[0.000, 0.000] 
   100.0    100.0   0  11   0 I=[0.000, 0.000] 
   100.0   1000.0   0  15   0 I=[0.000, 0.000] 
   100.0  10000.0   0  15   0 I=[0.000, 0.000] 
   100.0 100000.0   0  15   0 I=[0.000, 0.000] 
  1000.0      0.1   9 200   3 I=[0.171, 1.029] 
  1000.0      1.0   6 200   3 I=[0.171, 1.029] 
  1000.0     10.0   4 200   2 I=[-0.029, 0.829] 
  1000.0    100.0   3 200   0 I=[0.000, 0.000] 
  1000.0   1000.0   0  11   0 I=[0.000, 0.000] 
  1000.0  10000.0   0  15   0 I=[0.000, 0.000] 
  1000.0 100000.0   0  15   0 I=[0.000, 0.000] 
 10000.0      0.1  13 200   3 I=[0.171, 1.029] 
 10000.0      1.0   9 200   3 I=[0.171, 1.029] 
 10000.0     10.0   6 200   3 I=[0.171, 1.029] 
 10000.0    100.0   4 200   2 I=[-0.029, 0.829] 
 10000.0   1000.0   3 200   0 I=[0.000, 0.000] 
 10000.0  10000.0   0  11   0 I=[0.000, 0.000] 
 10000.0 100000.0   0  15   0 I=[0.000, 0.000] 
100000.0      0.1  13 200   3 I=[0.171, 1.029] 
100000.0      1.0  13 200   3 I=[0.171, 1.029] 
100000.0     10.0   9 200   3 I=[0.171, 1.029] 
100000.0    100.0   6 200   3 I=[0.171, 1.029] 
100000.0   1000.0   4 200   2 I=[-0.029, 0.829] 
100000.0  10000.0   3 200   0 I=[0.000, 0.000] 
100000.0 100000.0   0  11   0 I=[0.000, 0.000] 

selec = news.gz
# b a E k Ete Intervalo
#------- --- --- --- --- ---------
     0.1      0.1 8062 200 3456 I=[0.519, 0.543]
     0.1      1.0 7997 200 3359 I=[0.504, 0.528]
     0.1     10.0 7997 200 3359 I=[0.504, 0.528]
     0.1    100.0 7997 200 3359 I=[0.504, 0.528]
     0.1   1000.0 7997 200 3359 I=[0.504, 0.528]
     0.1  10000.0 7997 200 3359 I=[0.504, 0.528]
     0.1 100000.0 7997 200 3359 I=[0.504, 0.528]
     1.0      0.1 8658 200 3227 I=[0.484, 0.508]
     1.0      1.0 7997 200 3359 I=[0.504, 0.528]
     1.0     10.0 7997 200 3359 I=[0.504, 0.528]
     1.0    100.0 7997 200 3359 I=[0.504, 0.528]
     1.0   1000.0 7997 200 3359 I=[0.504, 0.528]
     1.0  10000.0 7997 200 3359 I=[0.504, 0.528]
     1.0 100000.0 7997 200 3359 I=[0.504, 0.528]
    10.0      0.1 9691 200 2929 I=[0.438, 0.462]
    10.0      1.0 8584 200 3256 I=[0.488, 0.512]
    10.0     10.0 7997 200 3359 I=[0.504, 0.528]
    10.0    100.0 7997 200 3359 I=[0.504, 0.528]
    10.0   1000.0 7997 200 3359 I=[0.504, 0.528]
    10.0  10000.0 7997 200 3359 I=[0.504, 0.528]
    10.0 100000.0 7997 200 3359 I=[0.504, 0.528]
   100.0      0.1 10233 200 2887 I=[0.431, 0.456]
   100.0      1.0 9682 200 2917 I=[0.436, 0.460]
   100.0     10.0 8584 200 3256 I=[0.488, 0.512]
   100.0    100.0 7997 200 3359 I=[0.504, 0.528]
   100.0   1000.0 7997 200 3359 I=[0.504, 0.528]
   100.0  10000.0 7997 200 3359 I=[0.504, 0.528]
   100.0 100000.0 7997 200 3359 I=[0.504, 0.528]
  1000.0      0.1 10436 200 2847 I=[0.425, 0.449]
  1000.0      1.0 10230 200 2887 I=[0.431, 0.456]
  1000.0     10.0 9682 200 2917 I=[0.436, 0.460]
  1000.0    100.0 8584 200 3256 I=[0.488, 0.512]
  1000.0   1000.0 7997 200 3359 I=[0.504, 0.528]
  1000.0  10000.0 7997 200 3359 I=[0.504, 0.528]
  1000.0 100000.0 7997 200 3359 I=[0.504, 0.528]
 10000.0      0.1 11640 200 2904 I=[0.434, 0.458]
 10000.0      1.0 10434 200 2845 I=[0.425, 0.449]
 10000.0     10.0 10230 200 2887 I=[0.431, 0.456]
 10000.0    100.0 9682 200 2917 I=[0.436, 0.460]
 10000.0   1000.0 8584 200 3256 I=[0.488, 0.512]
 10000.0  10000.0 7997 200 3359 I=[0.504, 0.528]
 10000.0 100000.0 7997 200 3359 I=[0.504, 0.528]
100000.0      0.1 13931 200 3290 I=[0.493, 0.518]
100000.0      1.0 11640 200 2904 I=[0.434, 0.458]
100000.0     10.0 10434 200 2845 I=[0.425, 0.449]
100000.0    100.0 10230 200 2887 I=[0.431, 0.456]
100000.0   1000.0 9682 200 2917 I=[0.436, 0.460]
100000.0  10000.0 8584 200 3256 I=[0.488, 0.512]
100000.0 100000.0 7997 200 3359 I=[0.504, 0.528]
selec = videos.gz
# b a E k Ete Intervalo
#------- --- --- --- --- ---------
     0.1      0.1 1652 200 469 I=[0.180, 0.212]
     0.1      1.0 1102 200 456 I=[0.175, 0.206]
     0.1     10.0 1012 200 447 I=[0.171, 0.202]
     0.1    100.0 1018 200 462 I=[0.177, 0.209]
     0.1   1000.0 1018 200 466 I=[0.179, 0.210]
     0.1  10000.0 994 200 464 I=[0.178, 0.210]
     0.1 100000.0 1008 200 469 I=[0.180, 0.212]
     1.0      0.1 2772 200 458 I=[0.175, 0.207]
     1.0      1.0 1652 200 469 I=[0.180, 0.212]
     1.0     10.0 1102 200 456 I=[0.175, 0.206]
     1.0    100.0 1012 200 447 I=[0.171, 0.202]
     1.0   1000.0 1018 200 462 I=[0.177, 0.209]
     1.0  10000.0 1018 200 466 I=[0.179, 0.210]
     1.0 100000.0 994 200 464 I=[0.178, 0.210]
    10.0      0.1 4366 200 614 I=[0.239, 0.274]
    10.0      1.0 2772 200 458 I=[0.175, 0.207]
    10.0     10.0 1652 200 469 I=[0.180, 0.212]
    10.0    100.0 1102 200 456 I=[0.175, 0.206]
    10.0   1000.0 1012 200 447 I=[0.171, 0.202]
    10.0  10000.0 1018 200 462 I=[0.177, 0.209]
    10.0 100000.0 1018 200 466 I=[0.179, 0.210]
   100.0      0.1 5538 200 1214 I=[0.487, 0.527]
   100.0      1.0 4366 200 614 I=[0.239, 0.274]
   100.0     10.0 2772 200 458 I=[0.175, 0.207]
   100.0    100.0 1652 200 469 I=[0.180, 0.212]
   100.0   1000.0 1102 200 456 I=[0.175, 0.206]
   100.0  10000.0 1012 200 447 I=[0.171, 0.202]
   100.0 100000.0 1018 200 462 I=[0.177, 0.209]
  1000.0      0.1 5590 200 1245 I=[0.500, 0.540]
  1000.0      1.0 5538 200 1214 I=[0.487, 0.527]
  1000.0     10.0 4366 200 614 I=[0.239, 0.274]
  1000.0    100.0 2772 200 458 I=[0.175, 0.207]
  1000.0   1000.0 1652 200 469 I=[0.180, 0.212]
